,,,,,,,,,,,,,,,
PROCESSO Nº,,,,,ASSUNTO,,,,,,,,,,
,,,,,,,,,,,,,,,
REQUISITANTE,,,,,,DA ELABORAÇÃO DO MAPA,,,,,,,,,
ÓRGÃO,,,,,,RESPONSÁVEIS PELO ORÇAMENTO,,,,,,,,,
SETOR,,,,,,ANALISTAS RESPONSÁVEIS,,,,,,,,,
TELEFONE,,,,,,DATA DA LICITAÇÃO,,,,,,,,,
,,,,,,,,,,,,,,,
ITEM,QUANT.,UNID.,"CÓDIGO
(CATMAT/
CATSER)","DESCRIÇÃO SUMÁRIA DO
PRODUTO/SERVIÇO","ORÇAMENTO EMPRESA E0001
PREÇO UNITÁRIO (R$)","ORÇAMENTO EMPRESA E0002
PREÇO UNITÁRIO (R$)","ORÇAMENTO EMPRESA E0003
PREÇO UNITÁRIO (R$)","ORÇAMENTO EMPRESA E0004
PREÇO UNITÁRIO (R$)","ORÇAMENTO EMPRESA E0005
PREÇO UNITÁRIO (R$)","ORÇAMENTO EMPRESA E0006
PREÇO UNITÁRIO (R$)","ORÇAMENTO EMPRESA E0007
PREÇO UNITÁRIO (R$)","ORÇAMENTO EMPRESA E0008
PREÇO UNITÁRIO (R$)","ORÇAMENTO EMPRESA E0009
PREÇO UNITÁRIO (R$)","ORÇAMENTO EMPRESA E0010
PREÇO UNITÁRIO (R$)","ORÇAMENTO DA LICITAÇÃO
PREÇO UNITÁRIO (R$)"
597,200,Packs,,,R$21.00 ,R$40.00 ,R$3.00 ,R$32.00 ,R$30.00 ,R$21.00 ,R$24.00 ,R$11.00 ,R$36.00 ,R$14.00 ,R$22.00 
598,250,Litros,,,R$4.00 ,R$2.00 ,R$11.00 ,R$38.00 ,R$1.00 ,R$12.00 ,R$16.00 ,R$32.00 ,R$6.00 ,R$28.00 ,R$18.00 
599,150,Packs,,,R$16.00 ,R$7.00 ,R$14.00 ,R$31.00 ,R$10.00 ,R$27.00 ,R$36.00 ,R$4.00 ,R$34.00 ,R$28.00 ,R$40.00 
600,20,Pneus,,,R$21.00 ,R$5.00 ,R$25.00 ,R$11.00 ,R$6.00 ,R$4.00 ,R$26.00 ,R$22.00 ,R$35.00 ,R$15.00 ,R$12.00 
601,20,Pneus,,,R$7.00 ,R$14.00 ,R$13.00 ,R$10.00 ,R$34.00 ,R$23.00 ,R$26.00 ,R$3.00 ,R$26.00 ,R$20.00 ,R$31.00 
602,100,Caixas,,,R$21.00 ,R$23.00 ,R$28.00 ,R$1.00 ,R$34.00 ,R$26.00 ,R$25.00 ,R$27.00 ,R$30.00 ,R$21.00 ,R$37.00 
603,200,Packs,,,R$22.00 ,R$25.00 ,R$32.00 ,R$39.00 ,R$32.00 ,R$34.00 ,R$6.00 ,R$29.00 ,R$4.00 ,R$4.00 ,R$36.00 
604,250,Litros,,,R$22.00 ,R$13.00 ,R$35.00 ,R$13.00 ,R$5.00 ,R$20.00 ,R$32.00 ,R$12.00 ,R$16.00 ,R$17.00 ,R$29.00 
605,150,Packs,,,R$16.00 ,R$9.00 ,R$38.00 ,R$38.00 ,R$7.00 ,R$17.00 ,R$26.00 ,R$19.00 ,R$36.00 ,R$19.00 ,R$7.00 
606,20,Pneus,,,R$35.00 ,R$26.00 ,R$29.00 ,R$15.00 ,R$17.00 ,R$11.00 ,R$18.00 ,R$22.00 ,R$18.00 ,R$26.00 ,R$4.00 
607,20,Pneus,,,R$29.00 ,R$17.00 ,R$8.00 ,R$5.00 ,R$1.00 ,R$38.00 ,R$10.00 ,R$29.00 ,R$38.00 ,R$1.00 ,R$13.00 
608,100,Caixas,,,R$38.00 ,R$29.00 ,R$34.00 ,R$20.00 ,R$1.00 ,R$37.00 ,R$33.00 ,R$9.00 ,R$35.00 ,R$1.00 ,R$34.00 
609,200,Packs,,,R$36.00 ,R$22.00 ,R$22.00 ,R$20.00 ,R$2.00 ,R$15.00 ,R$13.00 ,R$3.00 ,R$13.00 ,R$16.00 ,R$40.00 
610,250,Litros,,,R$10.00 ,R$35.00 ,R$29.00 ,R$30.00 ,R$26.00 ,R$29.00 ,R$1.00 ,R$38.00 ,R$2.00 ,R$22.00 ,R$27.00 
611,150,Packs,,,R$14.00 ,R$25.00 ,R$4.00 ,R$34.00 ,R$13.00 ,R$5.00 ,R$9.00 ,R$16.00 ,R$3.00 ,R$36.00 ,R$32.00 
612,20,Pneus,,,R$39.00 ,R$29.00 ,R$28.00 ,R$23.00 ,R$33.00 ,R$15.00 ,R$40.00 ,R$27.00 ,R$19.00 ,R$27.00 ,R$26.00 
613,20,Pneus,,,R$25.00 ,R$22.00 ,R$35.00 ,R$30.00 ,R$35.00 ,R$2.00 ,R$23.00 ,R$11.00 ,R$22.00 ,R$8.00 ,R$23.00 
614,100,Caixas,,,R$7.00 ,R$12.00 ,R$5.00 ,R$14.00 ,R$13.00 ,R$34.00 ,R$3.00 ,R$18.00 ,R$5.00 ,R$20.00 ,R$12.00 
615,200,Packs,,,R$23.00 ,R$37.00 ,R$20.00 ,R$29.00 ,R$2.00 ,R$3.00 ,R$19.00 ,R$5.00 ,R$35.00 ,R$31.00 ,R$6.00 
616,250,Litros,,,R$1.00 ,R$18.00 ,R$35.00 ,R$17.00 ,R$28.00 ,R$32.00 ,R$38.00 ,R$26.00 ,R$15.00 ,R$39.00 ,R$34.00 
617,150,Packs,,,R$10.00 ,R$18.00 ,R$40.00 ,R$38.00 ,R$8.00 ,R$29.00 ,R$7.00 ,R$27.00 ,R$19.00 ,R$38.00 ,R$19.00 
618,20,Pneus,,,R$33.00 ,R$27.00 ,R$10.00 ,R$32.00 ,R$29.00 ,R$16.00 ,R$6.00 ,R$7.00 ,R$24.00 ,R$21.00 ,R$39.00 
619,20,Pneus,,,R$29.00 ,R$39.00 ,R$28.00 ,R$23.00 ,R$4.00 ,R$9.00 ,R$36.00 ,R$5.00 ,R$17.00 ,R$38.00 ,R$6.00 
620,100,Caixas,,,R$20.00 ,R$19.00 ,R$40.00 ,R$29.00 ,R$27.00 ,R$2.00 ,R$40.00 ,R$13.00 ,R$22.00 ,R$13.00 ,R$29.00 
621,200,Packs,,,R$27.00 ,R$31.00 ,R$22.00 ,R$17.00 ,R$5.00 ,R$2.00 ,R$5.00 ,R$6.00 ,R$28.00 ,R$4.00 ,R$25.00 
622,250,Litros,,,R$3.00 ,R$22.00 ,R$18.00 ,R$16.00 ,R$29.00 ,R$25.00 ,R$26.00 ,R$40.00 ,R$38.00 ,R$11.00 ,R$4.00 
623,150,Packs,,,R$11.00 ,R$12.00 ,R$22.00 ,R$26.00 ,R$16.00 ,R$36.00 ,R$30.00 ,R$20.00 ,R$26.00 ,R$23.00 ,R$33.00 
624,20,Pneus,,,R$5.00 ,R$18.00 ,R$12.00 ,R$25.00 ,R$9.00 ,R$12.00 ,R$39.00 ,R$8.00 ,R$1.00 ,R$28.00 ,R$3.00 
625,20,Pneus,,,R$4.00 ,R$12.00 ,R$36.00 ,R$6.00 ,R$38.00 ,R$29.00 ,R$35.00 ,R$5.00 ,R$32.00 ,R$9.00 ,R$8.00 
626,100,Caixas,,,R$25.00 ,R$33.00 ,R$33.00 ,R$9.00 ,R$16.00 ,R$37.00 ,R$19.00 ,R$34.00 ,R$39.00 ,R$11.00 ,R$15.00 
627,200,Packs,,,R$30.00 ,R$29.00 ,R$5.00 ,R$25.00 ,R$10.00 ,R$40.00 ,R$21.00 ,R$32.00 ,R$26.00 ,R$27.00 ,R$38.00 
628,250,Litros,,,R$12.00 ,R$37.00 ,R$29.00 ,R$21.00 ,R$19.00 ,R$13.00 ,R$9.00 ,R$25.00 ,R$38.00 ,R$3.00 ,R$28.00 
629,150,Packs,,,R$29.00 ,R$33.00 ,R$35.00 ,R$2.00 ,R$4.00 ,R$35.00 ,R$31.00 ,R$31.00 ,R$33.00 ,R$37.00 ,R$15.00 
630,20,Pneus,,,R$3.00 ,R$16.00 ,R$11.00 ,R$39.00 ,R$31.00 ,R$26.00 ,R$21.00 ,R$5.00 ,R$9.00 ,R$25.00 ,R$15.00 
631,20,Pneus,,,R$27.00 ,R$32.00 ,R$32.00 ,R$14.00 ,R$5.00 ,R$34.00 ,R$24.00 ,R$34.00 ,R$6.00 ,R$15.00 ,R$2.00 
632,100,Caixas,,,R$34.00 ,R$35.00 ,R$33.00 ,R$12.00 ,R$32.00 ,R$16.00 ,R$9.00 ,R$23.00 ,R$14.00 ,R$37.00 ,R$19.00 
633,200,Packs,,,R$34.00 ,R$9.00 ,R$40.00 ,R$3.00 ,R$20.00 ,R$12.00 ,R$10.00 ,R$17.00 ,R$11.00 ,R$27.00 ,R$12.00 
634,250,Litros,,,R$9.00 ,R$8.00 ,R$27.00 ,R$9.00 ,R$30.00 ,R$19.00 ,R$3.00 ,R$7.00 ,R$23.00 ,R$4.00 ,R$25.00 
635,100,Caixas,,,R$19.00 ,R$1.00 ,R$24.00 ,R$22.00 ,R$30.00 ,R$14.00 ,R$12.00 ,R$18.00 ,R$7.00 ,R$35.00 ,R$39.00 
636,200,Packs,,,R$23.00 ,R$7.00 ,R$19.00 ,R$22.00 ,R$32.00 ,R$8.00 ,R$12.00 ,R$40.00 ,R$20.00 ,R$13.00 ,R$19.00 
637,250,Litros,,,R$26.00 ,R$36.00 ,R$22.00 ,R$24.00 ,R$25.00 ,R$19.00 ,R$12.00 ,R$4.00 ,R$22.00 ,R$12.00 ,R$1.00 
638,150,Packs,,,R$12.00 ,R$10.00 ,R$27.00 ,R$25.00 ,R$28.00 ,R$31.00 ,R$14.00 ,R$6.00 ,R$36.00 ,R$38.00 ,R$22.00 
639,20,Pneus,,,R$8.00 ,R$39.00 ,R$14.00 ,R$28.00 ,R$3.00 ,R$9.00 ,R$4.00 ,R$2.00 ,R$20.00 ,R$39.00 ,R$13.00 
640,100,Caixas,,,R$19.00 ,R$6.00 ,R$8.00 ,R$37.00 ,R$24.00 ,R$10.00 ,R$35.00 ,R$4.00 ,R$1.00 ,R$31.00 ,R$15.00 
641,200,Packs,,,R$36.00 ,R$28.00 ,R$28.00 ,R$9.00 ,R$24.00 ,R$36.00 ,R$38.00 ,R$8.00 ,R$6.00 ,R$27.00 ,R$37.00 
642,250,Litros,,,R$1.00 ,R$30.00 ,R$21.00 ,R$20.00 ,R$33.00 ,R$2.00 ,R$21.00 ,R$27.00 ,R$32.00 ,R$17.00 ,R$6.00 
643,150,Packs,,,R$5.00 ,R$17.00 ,R$26.00 ,R$37.00 ,R$10.00 ,R$13.00 ,R$24.00 ,R$38.00 ,R$20.00 ,R$30.00 ,R$5.00 
644,20,Pneus,,,R$22.00 ,R$11.00 ,R$22.00 ,R$6.00 ,R$4.00 ,R$39.00 ,R$32.00 ,R$34.00 ,R$16.00 ,R$4.00 ,R$9.00 
645,100,Caixas,,,R$39.00 ,R$19.00 ,R$32.00 ,R$34.00 ,R$6.00 ,R$33.00 ,R$21.00 ,R$39.00 ,R$31.00 ,R$15.00 ,R$34.00 
646,200,Packs,,,R$1.00 ,R$5.00 ,R$40.00 ,R$19.00 ,R$35.00 ,R$27.00 ,R$24.00 ,R$2.00 ,R$1.00 ,R$11.00 ,R$26.00 
647,250,Litros,,,R$8.00 ,R$1.00 ,R$31.00 ,R$9.00 ,R$19.00 ,R$2.00 ,R$29.00 ,R$3.00 ,R$33.00 ,R$25.00 ,R$38.00 
648,150,Packs,,,R$32.00 ,R$32.00 ,R$25.00 ,R$32.00 ,R$26.00 ,R$32.00 ,R$22.00 ,R$11.00 ,R$36.00 ,R$18.00 ,R$29.00 
649,20,Pneus,,,R$18.00 ,R$17.00 ,R$9.00 ,R$29.00 ,R$17.00 ,R$30.00 ,R$26.00 ,R$34.00 ,R$28.00 ,R$14.00 ,R$40.00 
650,100,Caixas,,,R$25.00 ,R$12.00 ,R$20.00 ,R$18.00 ,R$1.00 ,R$7.00 ,R$28.00 ,R$35.00 ,R$16.00 ,R$34.00 ,R$36.00 
651,200,Packs,,,R$2.00 ,R$17.00 ,R$15.00 ,R$33.00 ,R$3.00 ,R$3.00 ,R$33.00 ,R$32.00 ,R$1.00 ,R$12.00 ,R$34.00 
652,250,Litros,,,R$11.00 ,R$35.00 ,R$5.00 ,R$3.00 ,R$26.00 ,R$37.00 ,R$17.00 ,R$8.00 ,R$26.00 ,R$30.00 ,R$35.00 
653,150,Packs,,,R$17.00 ,R$26.00 ,R$26.00 ,R$12.00 ,R$35.00 ,R$21.00 ,R$9.00 ,R$39.00 ,R$19.00 ,R$7.00 ,R$16.00 
654,20,Pneus,,,R$36.00 ,R$19.00 ,R$21.00 ,R$18.00 ,R$7.00 ,R$18.00 ,R$18.00 ,R$10.00 ,R$32.00 ,R$40.00 ,R$12.00 
655,100,Caixas,,,R$22.00 ,R$9.00 ,R$18.00 ,R$16.00 ,R$39.00 ,R$21.00 ,R$39.00 ,R$32.00 ,R$28.00 ,R$6.00 ,R$16.00 
656,200,Packs,,,R$20.00 ,R$23.00 ,R$3.00 ,R$6.00 ,R$36.00 ,R$32.00 ,R$10.00 ,R$9.00 ,R$4.00 ,R$35.00 ,R$9.00 
657,250,Litros,,,R$9.00 ,R$15.00 ,R$23.00 ,R$16.00 ,R$1.00 ,R$8.00 ,R$21.00 ,R$20.00 ,R$23.00 ,R$1.00 ,R$16.00 
658,150,Packs,,,R$9.00 ,R$34.00 ,R$21.00 ,R$40.00 ,R$2.00 ,R$12.00 ,R$32.00 ,R$39.00 ,R$16.00 ,R$35.00 ,R$31.00 
659,20,Pneus,,,R$26.00 ,R$14.00 ,R$31.00 ,R$25.00 ,R$13.00 ,R$35.00 ,R$2.00 ,R$17.00 ,R$14.00 ,R$39.00 ,R$13.00 
660,100,Caixas,,,R$16.00 ,R$33.00 ,R$17.00 ,R$2.00 ,R$13.00 ,R$31.00 ,R$4.00 ,R$36.00 ,R$16.00 ,R$16.00 ,R$37.00 
661,200,Packs,,,R$38.00 ,R$29.00 ,R$34.00 ,R$36.00 ,R$3.00 ,R$33.00 ,R$30.00 ,R$25.00 ,R$26.00 ,R$24.00 ,R$17.00 
662,250,Litros,,,R$26.00 ,R$24.00 ,R$6.00 ,R$37.00 ,R$36.00 ,R$19.00 ,R$11.00 ,R$27.00 ,R$22.00 ,R$11.00 ,R$27.00 
663,150,Packs,,,R$4.00 ,R$35.00 ,R$29.00 ,R$17.00 ,R$25.00 ,R$39.00 ,R$40.00 ,R$19.00 ,R$7.00 ,R$3.00 ,R$32.00 
664,20,Pneus,,,R$31.00 ,R$4.00 ,R$39.00 ,R$36.00 ,R$4.00 ,R$34.00 ,R$5.00 ,R$27.00 ,R$7.00 ,R$22.00 ,R$18.00 
665,100,Caixas,,,R$20.00 ,R$24.00 ,R$32.00 ,R$19.00 ,R$11.00 ,R$18.00 ,R$9.00 ,R$17.00 ,R$22.00 ,R$29.00 ,R$4.00 
666,200,Packs,,,R$26.00 ,R$34.00 ,R$2.00 ,R$2.00 ,R$40.00 ,R$23.00 ,R$4.00 ,R$37.00 ,R$37.00 ,R$23.00 ,R$36.00 
667,250,Litros,,,R$6.00 ,R$10.00 ,R$10.00 ,R$14.00 ,R$40.00 ,R$5.00 ,R$30.00 ,R$27.00 ,R$30.00 ,R$18.00 ,R$9.00 
668,150,Packs,,,R$34.00 ,R$20.00 ,R$11.00 ,R$28.00 ,R$21.00 ,R$5.00 ,R$12.00 ,R$26.00 ,R$17.00 ,R$10.00 ,R$14.00 
669,20,Pneus,,,R$20.00 ,R$40.00 ,R$5.00 ,R$2.00 ,R$19.00 ,R$6.00 ,R$20.00 ,R$1.00 ,R$12.00 ,R$9.00 ,R$2.00 
670,20,Pneus,,,R$21.00 ,R$19.00 ,R$10.00 ,R$34.00 ,R$27.00 ,R$15.00 ,R$37.00 ,R$12.00 ,R$22.00 ,R$16.00 ,R$12.00 
671,100,Caixas,,,R$16.00 ,R$8.00 ,R$16.00 ,R$25.00 ,R$7.00 ,R$36.00 ,R$21.00 ,R$18.00 ,R$12.00 ,R$35.00 ,R$6.00 
672,200,Packs,,,R$29.00 ,R$8.00 ,R$12.00 ,R$29.00 ,R$1.00 ,R$37.00 ,R$20.00 ,R$38.00 ,R$2.00 ,R$16.00 ,R$23.00 
673,250,Litros,,,R$20.00 ,R$2.00 ,R$16.00 ,R$27.00 ,R$30.00 ,R$38.00 ,R$29.00 ,R$36.00 ,R$23.00 ,R$40.00 ,R$18.00 
674,150,Packs,,,R$35.00 ,R$11.00 ,R$11.00 ,R$17.00 ,R$11.00 ,R$14.00 ,R$30.00 ,R$30.00 ,R$32.00 ,R$19.00 ,R$39.00 
675,20,Pneus,,,R$19.00 ,R$36.00 ,R$38.00 ,R$13.00 ,R$21.00 ,R$2.00 ,R$29.00 ,R$37.00 ,R$20.00 ,R$23.00 ,R$1.00 
676,20,Pneus,,,R$1.00 ,R$7.00 ,R$9.00 ,R$7.00 ,R$2.00 ,R$5.00 ,R$21.00 ,R$24.00 ,R$12.00 ,R$8.00 ,R$3.00 
677,100,Caixas,,,R$39.00 ,R$20.00 ,R$6.00 ,R$14.00 ,R$27.00 ,R$7.00 ,R$28.00 ,R$38.00 ,R$20.00 ,R$35.00 ,R$24.00 
678,200,Packs,,,R$28.00 ,R$25.00 ,R$16.00 ,R$35.00 ,R$32.00 ,R$37.00 ,R$4.00 ,R$33.00 ,R$24.00 ,R$23.00 ,R$21.00 
679,250,Litros,,,R$22.00 ,R$28.00 ,R$4.00 ,R$26.00 ,R$33.00 ,R$25.00 ,R$33.00 ,R$6.00 ,R$21.00 ,R$3.00 ,R$36.00 
680,150,Packs,,,R$20.00 ,R$7.00 ,R$6.00 ,R$21.00 ,R$29.00 ,R$26.00 ,R$20.00 ,R$36.00 ,R$33.00 ,R$38.00 ,R$33.00 
681,20,Pneus,,,R$21.00 ,R$9.00 ,R$33.00 ,R$16.00 ,R$2.00 ,R$31.00 ,R$31.00 ,R$37.00 ,R$10.00 ,R$25.00 ,R$25.00 
682,20,Pneus,,,R$34.00 ,R$29.00 ,R$34.00 ,R$12.00 ,R$27.00 ,R$26.00 ,R$19.00 ,R$2.00 ,R$30.00 ,R$15.00 ,R$38.00 
683,100,Caixas,,,R$30.00 ,R$2.00 ,R$37.00 ,R$29.00 ,R$13.00 ,R$28.00 ,R$6.00 ,R$15.00 ,R$17.00 ,R$5.00 ,R$35.00 
684,200,Packs,,,R$13.00 ,R$31.00 ,R$10.00 ,R$32.00 ,R$9.00 ,R$29.00 ,R$7.00 ,R$38.00 ,R$9.00 ,R$2.00 ,R$20.00 
685,250,Litros,,,R$23.00 ,R$30.00 ,R$37.00 ,R$14.00 ,R$24.00 ,R$19.00 ,R$39.00 ,R$12.00 ,R$35.00 ,R$1.00 ,R$32.00 
686,150,Packs,,,R$33.00 ,R$31.00 ,R$16.00 ,R$36.00 ,R$14.00 ,R$26.00 ,R$4.00 ,R$14.00 ,R$18.00 ,R$8.00 ,R$7.00 
687,20,Pneus,,,R$29.00 ,R$13.00 ,R$9.00 ,R$11.00 ,R$39.00 ,R$1.00 ,R$16.00 ,R$7.00 ,R$14.00 ,R$32.00 ,R$1.00 
688,20,Pneus,,,R$8.00 ,R$26.00 ,R$32.00 ,R$35.00 ,R$7.00 ,R$20.00 ,R$32.00 ,R$30.00 ,R$2.00 ,R$8.00 ,R$4.00 
689,100,Caixas,,,R$29.00 ,R$24.00 ,R$36.00 ,R$13.00 ,R$38.00 ,R$29.00 ,R$35.00 ,R$25.00 ,R$5.00 ,R$39.00 ,R$5.00 
690,200,Packs,,,R$39.00 ,R$32.00 ,R$15.00 ,R$38.00 ,R$25.00 ,R$25.00 ,R$17.00 ,R$25.00 ,R$21.00 ,R$38.00 ,R$10.00 
691,250,Litros,,,R$11.00 ,R$27.00 ,R$37.00 ,R$31.00 ,R$39.00 ,R$23.00 ,R$2.00 ,R$33.00 ,R$19.00 ,R$36.00 ,R$14.00 
692,150,Packs,,,R$36.00 ,R$11.00 ,R$5.00 ,R$1.00 ,R$12.00 ,R$5.00 ,R$2.00 ,R$7.00 ,R$9.00 ,R$7.00 ,R$25.00 
693,20,Pneus,,,R$16.00 ,R$31.00 ,R$39.00 ,R$7.00 ,R$26.00 ,R$25.00 ,R$28.00 ,R$23.00 ,R$23.00 ,R$11.00 ,R$7.00 
694,20,Pneus,,,R$2.00 ,R$33.00 ,R$35.00 ,R$18.00 ,R$15.00 ,R$3.00 ,R$13.00 ,R$28.00 ,R$36.00 ,R$20.00 ,R$4.00 
695,100,Caixas,,,R$13.00 ,R$22.00 ,R$36.00 ,R$7.00 ,R$10.00 ,R$16.00 ,R$15.00 ,R$3.00 ,R$27.00 ,R$11.00 ,R$16.00 
696,200,Packs,,,R$17.00 ,R$23.00 ,R$10.00 ,R$3.00 ,R$37.00 ,R$5.00 ,R$27.00 ,R$2.00 ,R$38.00 ,R$17.00 ,R$1.00 
697,250,Litros,,,R$19.00 ,R$3.00 ,R$25.00 ,R$34.00 ,R$40.00 ,R$39.00 ,R$17.00 ,R$12.00 ,R$4.00 ,R$23.00 ,R$6.00 
698,150,Packs,,,R$7.00 ,R$28.00 ,R$28.00 ,R$36.00 ,R$37.00 ,R$25.00 ,R$8.00 ,R$19.00 ,R$22.00 ,R$18.00 ,R$19.00 
699,20,Pneus,,,R$5.00 ,R$29.00 ,R$21.00 ,R$37.00 ,R$29.00 ,R$8.00 ,R$6.00 ,R$12.00 ,R$39.00 ,R$32.00 ,R$31.00 
700,20,Pneus,,,R$15.00 ,R$16.00 ,R$21.00 ,R$2.00 ,R$17.00 ,R$24.00 ,R$11.00 ,R$18.00 ,R$5.00 ,R$23.00 ,R$25.00 
701,100,Caixas,,,R$25.00 ,R$10.00 ,R$38.00 ,R$29.00 ,R$24.00 ,R$15.00 ,R$3.00 ,R$33.00 ,R$17.00 ,R$5.00 ,R$19.00 
702,200,Packs,,,R$4.00 ,R$13.00 ,R$10.00 ,R$20.00 ,R$8.00 ,R$15.00 ,R$28.00 ,R$25.00 ,R$36.00 ,R$4.00 ,R$35.00 
703,250,Litros,,,R$4.00 ,R$10.00 ,R$40.00 ,R$8.00 ,R$7.00 ,R$13.00 ,R$9.00 ,R$15.00 ,R$30.00 ,R$13.00 ,R$18.00 
704,150,Packs,,,R$34.00 ,R$30.00 ,R$26.00 ,R$37.00 ,R$4.00 ,R$3.00 ,R$12.00 ,R$21.00 ,R$18.00 ,R$1.00 ,R$8.00 
705,20,Pneus,,,R$40.00 ,R$29.00 ,R$26.00 ,R$7.00 ,R$27.00 ,R$26.00 ,R$4.00 ,R$34.00 ,R$29.00 ,R$36.00 ,R$21.00 
706,20,Pneus,,,R$12.00 ,R$34.00 ,R$13.00 ,R$10.00 ,R$17.00 ,R$10.00 ,R$10.00 ,R$29.00 ,R$6.00 ,R$25.00 ,R$11.00 
707,100,Caixas,,,R$7.00 ,R$3.00 ,R$9.00 ,R$25.00 ,R$34.00 ,R$7.00 ,R$40.00 ,R$5.00 ,R$2.00 ,R$7.00 ,R$38.00 
708,200,Packs,,,R$34.00 ,R$3.00 ,R$20.00 ,R$18.00 ,R$28.00 ,R$19.00 ,R$31.00 ,R$16.00 ,R$4.00 ,R$36.00 ,R$15.00 
709,250,Litros,,,R$27.00 ,R$30.00 ,R$17.00 ,R$35.00 ,R$6.00 ,R$38.00 ,R$6.00 ,R$19.00 ,R$39.00 ,R$31.00 ,R$5.00 
710,150,Packs,,,R$38.00 ,R$37.00 ,R$2.00 ,R$24.00 ,R$31.00 ,R$36.00 ,R$24.00 ,R$14.00 ,R$3.00 ,R$23.00 ,R$5.00 
711,20,Pneus,,,R$24.00 ,R$25.00 ,R$1.00 ,R$4.00 ,R$8.00 ,R$9.00 ,R$4.00 ,R$9.00 ,R$6.00 ,R$38.00 ,R$37.00 
712,20,Pneus,,,R$6.00 ,R$8.00 ,R$12.00 ,R$35.00 ,R$20.00 ,R$20.00 ,R$16.00 ,R$23.00 ,R$14.00 ,R$25.00 ,R$7.00 
713,100,Caixas,,,R$28.00 ,R$8.00 ,R$3.00 ,R$32.00 ,R$13.00 ,R$5.00 ,R$27.00 ,R$13.00 ,R$28.00 ,R$30.00 ,R$31.00 
714,200,Packs,,,R$11.00 ,R$12.00 ,R$8.00 ,R$39.00 ,R$1.00 ,R$2.00 ,R$6.00 ,R$24.00 ,R$5.00 ,R$32.00 ,R$31.00 
715,250,Litros,,,R$26.00 ,R$2.00 ,R$14.00 ,R$9.00 ,R$16.00 ,R$28.00 ,R$26.00 ,R$27.00 ,R$24.00 ,R$10.00 ,R$2.00 
716,100,Caixas,,,R$15.00 ,R$1.00 ,R$11.00 ,R$20.00 ,R$14.00 ,R$37.00 ,R$34.00 ,R$30.00 ,R$5.00 ,R$19.00 ,R$33.00 
717,200,Packs,,,R$28.00 ,R$40.00 ,R$9.00 ,R$27.00 ,R$31.00 ,R$22.00 ,R$34.00 ,R$14.00 ,R$10.00 ,R$15.00 ,R$33.00 
718,250,Litros,,,R$38.00 ,R$8.00 ,R$24.00 ,R$19.00 ,R$15.00 ,R$3.00 ,R$32.00 ,R$9.00 ,R$33.00 ,R$21.00 ,R$19.00 
719,150,Packs,,,R$9.00 ,R$15.00 ,R$18.00 ,R$4.00 ,R$31.00 ,R$36.00 ,R$32.00 ,R$40.00 ,R$2.00 ,R$25.00 ,R$34.00 
720,20,Pneus,,,R$17.00 ,R$33.00 ,R$19.00 ,R$8.00 ,R$19.00 ,R$14.00 ,R$3.00 ,R$12.00 ,R$25.00 ,R$5.00 ,R$13.00 
721,100,Caixas,,,R$11.00 ,R$1.00 ,R$29.00 ,R$21.00 ,R$28.00 ,R$3.00 ,R$38.00 ,R$39.00 ,R$24.00 ,R$7.00 ,R$40.00 
722,200,Packs,,,R$6.00 ,R$1.00 ,R$38.00 ,R$29.00 ,R$40.00 ,R$13.00 ,R$39.00 ,R$19.00 ,R$20.00 ,R$13.00 ,R$29.00 
723,250,Litros,,,R$35.00 ,R$4.00 ,R$20.00 ,R$34.00 ,R$5.00 ,R$12.00 ,R$25.00 ,R$31.00 ,R$18.00 ,R$31.00 ,R$2.00 
724,150,Packs,,,R$15.00 ,R$3.00 ,R$21.00 ,R$38.00 ,R$38.00 ,R$32.00 ,R$3.00 ,R$13.00 ,R$14.00 ,R$36.00 ,R$34.00 
725,20,Pneus,,,R$4.00 ,R$14.00 ,R$4.00 ,R$14.00 ,R$10.00 ,R$32.00 ,R$4.00 ,R$19.00 ,R$25.00 ,R$36.00 ,R$22.00 
726,100,Caixas,,,R$22.00 ,R$17.00 ,R$28.00 ,R$25.00 ,R$29.00 ,R$21.00 ,R$5.00 ,R$32.00 ,R$33.00 ,R$34.00 ,R$25.00 
727,200,Packs,,,R$24.00 ,R$7.00 ,R$37.00 ,R$10.00 ,R$1.00 ,R$37.00 ,R$23.00 ,R$8.00 ,R$6.00 ,R$31.00 ,R$22.00 
728,250,Litros,,,R$24.00 ,R$36.00 ,R$12.00 ,R$30.00 ,R$36.00 ,R$7.00 ,R$39.00 ,R$34.00 ,R$15.00 ,R$39.00 ,R$31.00 
729,150,Packs,,,R$39.00 ,R$23.00 ,R$9.00 ,R$23.00 ,R$23.00 ,R$4.00 ,R$17.00 ,R$39.00 ,R$5.00 ,R$2.00 ,R$26.00 
730,20,Pneus,,,R$1.00 ,R$35.00 ,R$2.00 ,R$31.00 ,R$22.00 ,R$22.00 ,R$39.00 ,R$14.00 ,R$18.00 ,R$12.00 ,R$20.00 
731,100,Caixas,,,R$16.00 ,R$32.00 ,R$5.00 ,R$39.00 ,R$15.00 ,R$24.00 ,R$15.00 ,R$20.00 ,R$37.00 ,R$23.00 ,R$8.00 
732,200,Packs,,,R$36.00 ,R$15.00 ,R$2.00 ,R$6.00 ,R$10.00 ,R$3.00 ,R$26.00 ,R$23.00 ,R$15.00 ,R$26.00 ,R$15.00 
